ablation,f1,precision,recall,auc,delta_f1
Full model,0.6856380613606047,0.6172938350680545,0.771,0.55467,0.0
- Name judgments,0.4723360655737705,0.4842436974789916,0.461,0.542574,-0.21330199578683418
- Birthyear judgments,0.5426739023186976,0.5355404089581305,0.55,0.496448,-0.14296415904190707
- Geographic judgments,0.6824899238692342,0.6180048661800487,0.762,0.5352975,-0.0031481374913704396
- Sex judgments,0.15459882583170254,0.15134099616858238,0.158,0.10153349999999998,-0.5310392355289022
- Census year (heimild),0.4143085958355579,0.4444444444444444,0.388,0.39285600000000004,-0.2713294655250468
